IpAddr,AddrType,Proto,Port,PortState,Reason,TTL,ServiceName,Banner
79.165.246.2,ipv4,tcp,443,open,syn-ack,51,,
46.243.183.46,ipv4,tcp,443,open,syn-ack,51,,
77.222.57.43,ipv4,tcp,443,open,syn-ack,47,,
81.23.146.122,ipv4,tcp,443,open,syn-ack,51,,
46.183.182.210,ipv4,tcp,80,open,syn-ack,47,,
46.228.13.158,ipv4,tcp,80,open,syn-ack,49,,
46.163.170.48,ipv4,tcp,80,open,syn-ack,48,,
46.61.244.79,ipv4,tcp,80,open,syn-ack,113,,
78.138.164.250,ipv4,tcp,80,open,syn-ack,49,,
80.82.59.18,ipv4,tcp,80,open,syn-ack,48,,
80.87.199.75,ipv4,tcp,80,open,syn-ack,48,,
79.170.27.207,ipv4,tcp,80,open,syn-ack,47,,
79.120.10.12,ipv4,tcp,80,open,syn-ack,55,,
84.38.2.114,ipv4,tcp,443,open,syn-ack,49,,
82.146.48.85,ipv4,tcp,443,open,syn-ack,47,,
83.234.116.74,ipv4,tcp,443,open,syn-ack,51,,
84.201.182.83,ipv4,tcp,80,open,syn-ack,47,,
85.15.174.70,ipv4,tcp,80,open,syn-ack,47,,
84.201.141.208,ipv4,tcp,80,open,syn-ack,46,,
84.204.35.36,ipv4,tcp,80,open,syn-ack,53,,
46.151.50.2,ipv4,tcp,443,open,syn-ack,47,,
85.31.55.61,ipv4,tcp,80,open,syn-ack,45,,
77.222.56.45,ipv4,tcp,80,open,syn-ack,51,,
77.222.55.231,ipv4,tcp,80,open,syn-ack,49,,
77.246.232.123,ipv4,tcp,80,open,syn-ack,112,,
46.160.173.30,ipv4,tcp,80,open,syn-ack,48,,
46.229.223.91,ipv4,tcp,80,open,syn-ack,118,,
62.152.63.71,ipv4,tcp,80,open,syn-ack,48,,
46.232.124.169,ipv4,tcp,80,open,syn-ack,42,,
46.146.229.28,ipv4,tcp,80,open,syn-ack,48,,
62.182.74.213,ipv4,tcp,80,open,syn-ack,54,,
62.84.115.15,ipv4,tcp,80,open,syn-ack,47,,
46.73.143.126,ipv4,tcp,443,open,syn-ack,55,,
77.45.202.95,ipv4,tcp,443,open,syn-ack,48,,
62.109.8.73,ipv4,tcp,443,open,syn-ack,48,,
77.39.9.86,ipv4,tcp,443,open,syn-ack,52,,
84.42.4.7,ipv4,tcp,80,open,syn-ack,49,,
82.202.165.252,ipv4,tcp,80,open,syn-ack,47,,
46.242.17.217,ipv4,tcp,443,open,syn-ack,49,,
46.161.15.168,ipv4,tcp,443,open,syn-ack,49,,
51.250.11.213,ipv4,tcp,443,open,syn-ack,44,,
46.254.16.158,ipv4,tcp,443,open,syn-ack,50,,
51.250.31.103,ipv4,tcp,443,open,syn-ack,44,,
81.95.136.222,ipv4,tcp,80,open,syn-ack,50,,
82.146.42.12,ipv4,tcp,443,open,syn-ack,46,,
81.177.141.169,ipv4,tcp,80,open,syn-ack,47,,
81.177.141.164,ipv4,tcp,80,open,syn-ack,47,,
81.177.142.47,ipv4,tcp,80,open,syn-ack,46,,
82.202.165.55,ipv4,tcp,80,open,syn-ack,46,,
81.177.176.167,ipv4,tcp,443,open,syn-ack,46,,
80.245.117.22,ipv4,tcp,3389,open,syn-ack,113,,
81.163.21.233,ipv4,tcp,443,open,syn-ack,47,,
84.52.83.108,ipv4,tcp,443,open,syn-ack,48,,
84.201.157.149,ipv4,tcp,443,open,syn-ack,47,,
84.201.137.171,ipv4,tcp,443,open,syn-ack,47,,
83.136.48.236,ipv4,tcp,443,open,syn-ack,46,,
84.201.178.10,ipv4,tcp,443,open,syn-ack,47,,
81.163.18.233,ipv4,tcp,443,open,syn-ack,50,,
80.254.124.21,ipv4,tcp,80,open,syn-ack,48,,
62.84.120.85,ipv4,tcp,80,open,syn-ack,47,,
77.37.236.98,ipv4,tcp,80,open,syn-ack,47,,
62.113.97.76,ipv4,tcp,80,open,syn-ack,48,,
80.65.30.11,ipv4,tcp,443,open,syn-ack,53,,
81.24.115.198,ipv4,tcp,443,open,syn-ack,112,,
46.48.118.26,ipv4,tcp,443,open,syn-ack,44,,
77.108.79.26,ipv4,tcp,443,open,syn-ack,112,,
79.140.24.221,ipv4,tcp,443,open,syn-ack,55,,
78.109.46.252,ipv4,tcp,443,open,syn-ack,40,,
78.138.129.139,ipv4,tcp,443,open,syn-ack,49,,
62.84.127.12,ipv4,tcp,443,open,syn-ack,47,,
78.140.222.179,ipv4,tcp,443,open,syn-ack,49,,
78.110.58.108,ipv4,tcp,443,open,syn-ack,49,,
77.222.56.186,ipv4,tcp,443,open,syn-ack,51,,
77.222.56.184,ipv4,tcp,443,open,syn-ack,49,,
77.222.57.31,ipv4,tcp,443,open,syn-ack,51,,
77.50.73.18,ipv4,tcp,3389,open,syn-ack,109,,
81.195.239.94,ipv4,tcp,443,open,syn-ack,36,,
46.232.115.211,ipv4,tcp,80,open,syn-ack,43,,
46.229.214.70,ipv4,tcp,80,open,syn-ack,50,,
62.109.26.48,ipv4,tcp,80,open,syn-ack,48,,
46.181.250.162,ipv4,tcp,80,open,syn-ack,46,,
77.241.41.83,ipv4,tcp,443,open,syn-ack,50,,
79.140.254.221,ipv4,tcp,80,open,syn-ack,50,,
80.78.254.204,ipv4,tcp,80,open,syn-ack,48,,
77.51.225.39,ipv4,tcp,80,open,syn-ack,50,,
77.83.94.13,ipv4,tcp,80,open,syn-ack,49,,
78.107.248.198,ipv4,tcp,443,open,syn-ack,49,,
82.146.39.57,ipv4,tcp,443,open,syn-ack,46,,
62.148.5.61,ipv4,tcp,443,open,syn-ack,116,,
81.1.217.168,ipv4,tcp,443,open,syn-ack,51,,
81.200.113.117,ipv4,tcp,443,open,syn-ack,56,,
83.239.87.62,ipv4,tcp,80,open,syn-ack,49,,
84.201.162.30,ipv4,tcp,80,open,syn-ack,47,,
85.15.93.123,ipv4,tcp,80,open,syn-ack,47,,
78.132.150.57,ipv4,tcp,80,open,syn-ack,49,,
83.143.65.204,ipv4,tcp,443,open,syn-ack,52,,
84.51.119.239,ipv4,tcp,443,open,syn-ack,54,,
46.191.141.115,ipv4,tcp,80,open,syn-ack,48,,
84.47.160.38,ipv4,tcp,443,open,syn-ack,55,,
46.232.125.6,ipv4,tcp,80,open,syn-ack,41,,
83.229.254.71,ipv4,tcp,443,open,syn-ack,117,,
62.152.76.246,ipv4,tcp,443,open,syn-ack,46,,
83.220.171.141,ipv4,tcp,443,open,syn-ack,48,,
77.39.9.149,ipv4,tcp,443,open,syn-ack,48,,
85.12.239.98,ipv4,tcp,80,open,syn-ack,48,,
46.254.16.163,ipv4,tcp,443,open,syn-ack,50,,
78.29.35.69,ipv4,tcp,80,open,syn-ack,115,,
46.232.124.15,ipv4,tcp,443,open,syn-ack,41,,
81.177.49.215,ipv4,tcp,80,open,syn-ack,46,,
82.146.63.87,ipv4,tcp,80,open,syn-ack,47,,
80.87.196.143,ipv4,tcp,80,open,syn-ack,48,,
82.146.36.57,ipv4,tcp,80,open,syn-ack,47,,
81.177.161.247,ipv4,tcp,80,open,syn-ack,46,,
81.163.17.50,ipv4,tcp,80,open,syn-ack,49,,
